District,Region
Baki,Awdal
Borama,Awdal
Lughaye,Awdal
Zeylac,Awdal
Ceel Barde,Bakool
Rab Dhuure,Bakool
Tayeeglow,Bakool
Waajid,Bakool
Xudur,Bakool
Banadir,Banadir
Bandarbeyla,Bari
Bossaso,Bari
Caluula,Bari
Iskushuban,Bari
Qandala,Bari
Qardho,Bari
Baidoa,Bay
Buur Hakaba,Bay
Diinsoor,Bay
Qansax Dheere,Bay
Cabudwaaq,Galgaduud
Cadaado,Galgaduud
Ceel Buur,Galgaduud
Ceel Dheer,Galgaduud
Dhuusamarreeb,Galgaduud
Baardheere,Gedo
Belet Xaawo,Gedo
Ceel Waaq,Gedo
Doolow,Gedo
Garbahaarey,Gedo
Luuq,Gedo
Belet Weyne,Hiraan
Bulo Burto,Hiraan
,
Jalalaqsi,Hiraan
Bu'aale,Middle Juba
Jilib,Middle Juba
Saakow,Middle Juba
Afmadow,Lower Juba
Badhaadhe,Lower Juba
Jamaame,Lower Juba
Kismayo,Lower Juba
,
Gaalkacyo,Mudug
Galdogob,Mudug
Hobyo,Mudug
Jariiban,Mudug
Xarardheere,Mudug
Burtinle,Nugaal
Eyl,Nugaal
Garoowe,Nugaal
Badhan,Sanaag
Ceel Afweyn,Sanaag
Ceerigaabo,Sanaag
Dhahar,Sanaag
Laasqoray,Sanaag
Adan Yabaal,Middle Shabelle
Balcad,Middle Shabelle
Cadale,Middle Shabelle
Jowhar,Middle Shabelle
Afgooye,Lower Shabelle
Baraawe,Lower Shabelle
Kurtunwaarey,Lower Shabelle
Marka,Lower Shabelle
Qoryooley,Lower Shabelle
Sablaale,Lower Shabelle
Wanla Weyn,Lower Shabelle
,
Caynabo,Sool
Laas Caanood,Sool
Taleex,Sool
Xudun,Sool
Burco,Togdheer
Buuhoodle,Togdheer
Owdweyne,Togdheer
Sheikh,Togdheer
Berbera,Woqooyi Galbeed
Gebiley,Woqooyi Galbeed
Hargeysa,Woqooyi Galbeed
